[tensor(23293.7363), tensor(21646.2246)]
[tensor(23685.6934), tensor(21254.2598)]
[tensor(23721.9707), tensor(21218.0645)]
[tensor(23125.5293), tensor(21814.4941)]
[tensor(23293.1250), tensor(21646.9238)]
[tensor(22335.4570), tensor(22604.5293)]
[tensor(21579.6738), tensor(23360.4023)]
[tensor(21636.2520), tensor(23303.8027)]
[tensor(22025.5723), tensor(22914.4590)]
[tensor(22121.9805), tensor(22818.0703)]
[tensor(21444.3184), tensor(23495.6973)]
[tensor(21427.9062), tensor(23512.0859)]
[tensor(21836.4922), tensor(23103.5215)]
[tensor(22027.2773), tensor(22912.7129)]
[tensor(22137.3711), tensor(22802.6406)]
[tensor(22136.5586), tensor(22803.4570)]
[tensor(22334.5508), tensor(22605.4648)]
[tensor(22333.1660), tensor(22606.8320)]
[tensor(22440.8105), tensor(22499.1875)]
[tensor(22427.9727), tensor(22511.9941)]
[tensor(22451.1836), tensor(22488.7910)]
[tensor(22445.9160), tensor(22494.0742)]
[tensor(22444.2012), tensor(22495.7988)]
[tensor(22448.9707), tensor(22491.0117)]
[tensor(22450.1543), tensor(22489.8379)]
[tensor(22450.7578), tensor(22489.2422)]
[tensor(22452.9121), tensor(22487.0859)]
[tensor(22457.0488), tensor(22482.9375)]
[tensor(22458.4980), tensor(22481.4922)]
[tensor(22458.2832), tensor(22481.7188)]
[tensor(22462.3789), tensor(22477.6230)]
[tensor(22466.0273), tensor(22473.9668)]
[tensor(22468.4766), tensor(22471.5078)]
[tensor(22470.4316), tensor(22469.5586)]
[tensor(22469.2129), tensor(22470.7871)]
[tensor(22468.1582), tensor(22471.8496)]
[tensor(22468.0996), tensor(22471.8984)]
[tensor(22467.7969), tensor(22472.1992)]
[tensor(22466.8984), tensor(22473.0977)]
[tensor(22467.0820), tensor(22472.9062)]
[tensor(22466.1016), tensor(22473.8789)]
[tensor(21763.2305), tensor(23176.7871)]
[tensor(21212.6484), tensor(23727.3516)]
[tensor(20827.0762), tensor(24112.9707)]
[tensor(20935.2422), tensor(24004.7969)]
[tensor(21245.1250), tensor(23694.8945)]
[tensor(22393.5020), tensor(22546.4883)]
[tensor(22284.8535), tensor(22655.1230)]
[tensor(21950.7012), tensor(22989.2676)]
[tensor(22722.7734), tensor(22217.2227)]
[tensor(22451.6074), tensor(22488.4727)]
[tensor(22459.4980), tensor(22480.5195)]
[tensor(23081.6172), tensor(21858.4141)]
[tensor(22469.3555), tensor(22470.6719)]
[tensor(23482.1406), tensor(21457.8691)]
[tensor(23097.8750), tensor(21842.2207)]
[tensor(22885.2793), tensor(22054.7930)]
[tensor(22781.8613), tensor(22158.1816)]
[tensor(22520.0234), tensor(22419.9629)]
[tensor(22518.8145), tensor(22421.1738)]
[tensor(22471.9082), tensor(22468.0742)]
[tensor(22544.4766), tensor(22395.5352)]
[tensor(22526.9785), tensor(22413.0723)]
[tensor(22517.8008), tensor(22422.2031)]
[tensor(22505.0547), tensor(22434.9609)]
[tensor(22496.4414), tensor(22443.5645)]
[tensor(22489.0918), tensor(22450.9258)]
[tensor(22485.1230), tensor(22454.9180)]
[tensor(22480.4238), tensor(22459.5586)]
[tensor(22478.5215), tensor(22461.4609)]
[tensor(22476.4785), tensor(22463.4941)]
[tensor(22476.7695), tensor(22463.1973)]
[tensor(22474.8594), tensor(22465.1230)]
[tensor(22474.8066), tensor(22465.1543)]
[tensor(22474.4395), tensor(22465.5195)]
[tensor(22473.8496), tensor(22466.0996)]
[tensor(22472.1738), tensor(22467.7852)]
[tensor(22471.7520), tensor(22468.2090)]
[tensor(22472.8320), tensor(22467.1250)]
[tensor(22472.9238), tensor(22467.0215)]
[tensor(22475.0098), tensor(22464.9375)]
[tensor(22474.8027), tensor(22465.1523)]
[tensor(23024.2129), tensor(21915.8125)]
[tensor(23424.1777), tensor(21515.8613)]
[tensor(23370.4355), tensor(21569.5781)]
[tensor(23491.4727), tensor(21448.5117)]
[tensor(23887.9883), tensor(21052.0039)]
[tensor(22835.7637), tensor(22104.2363)]
[tensor(22112.3418), tensor(22827.6621)]
[tensor(21999.6973), tensor(22940.3262)]
[tensor(22098.6055), tensor(22841.4062)]
[tensor(23600.8574), tensor(21339.1895)]
[tensor(23534.7812), tensor(21405.3730)]
[tensor(22833.6895), tensor(22106.3691)]
[tensor(22536.9023), tensor(22403.1426)]
[tensor(22952.9785), tensor(21987.1270)]
[tensor(22539.0957), tensor(22400.9707)]
[tensor(22367.5703), tensor(22572.5508)]
[tensor(22536.6035), tensor(22403.4590)]
[tensor(22542.6367), tensor(22397.4453)]
[tensor(22494.4629), tensor(22445.5938)]
[tensor(22512.6758), tensor(22427.3789)]
[tensor(22535.7891), tensor(22404.2324)]
[tensor(22530.8887), tensor(22409.1504)]
[tensor(22508.3457), tensor(22431.7324)]
[tensor(22507.5977), tensor(22432.4648)]
[tensor(22502.9980), tensor(22437.0371)]
[tensor(22495.2852), tensor(22444.7598)]
[tensor(22495.1777), tensor(22444.8555)]
[tensor(22496.8516), tensor(22443.1914)]
[tensor(22493.3457), tensor(22446.7109)]
[tensor(22485.5488), tensor(22454.5000)]
[tensor(22484.3223), tensor(22455.7031)]
[tensor(22482.6562), tensor(22457.3750)]
[tensor(22482.4844), tensor(22457.5215)]
[tensor(22482.0195), tensor(22457.9805)]
[tensor(22479.7227), tensor(22460.2949)]
[tensor(22477.9395), tensor(22462.0703)]
[tensor(22478.3027), tensor(22461.7031)]
[tensor(22478.7461), tensor(22461.2539)]
[tensor(22478.9609), tensor(22461.0430)]
[tensor(22478.9648), tensor(22461.0371)]
[tensor(22478.7852), tensor(22461.2148)]
